Date,Open,High,Low,Close,Adj Close,Volume
2024-10-05,143.17,144.83,141.17,142.71,142.71,1113937760
2024-10-04,136.79,144.43,136.08,143.17,143.17,2361841303
2024-10-03,140.38,142.81,133.55,136.79,136.79,2914986844
2024-10-02,145.29,148.83,138.92,140.39,140.39,2892264150
2024-10-01,152.62,157.26,142.84,145.29,145.29,3656164855
2024-09-30,158.63,159.51,152.02,152.62,152.62,2376780676
2024-09-29,156.91,161.62,155.24,158.63,158.63,1773980028
2024-09-28,157.75,159.35,155.3,156.91,156.91,1300870644
2024-09-27,155.58,160.98,154.13,157.75,157.75,2765830721
2024-09-26,148.02,157.86,146.87,155.58,155.58,3009969111
2024-09-25,152.89,153.55,147.45,148.02,148.02,2138602628
2024-09-24,144.81,153.54,143.3,152.89,152.89,2927238360
2024-09-23,144.8,148.97,142.64,144.81,144.81,2344229720
2024-09-22,149.53,149.87,141.38,144.8,144.8,1597826979
2024-09-21,146.57,149.84,144.8,149.53,149.53,1385610390
2024-09-20,142.84,151.76,141.32,146.57,146.57,3241123621
2024-09-19,133.99,143.9,133.99,142.84,142.84,2884543933
2024-09-18,131.54,133.99,127.25,133.99,133.99,2260675347
2024-09-17,131.47,135.49,130.48,131.54,131.54,1726861492
2024-09-16,131.5,132.3,129.14,131.47,131.47,1623218789
2024-09-15,137.18,137.92,130.97,131.5,131.5,1358403273
2024-09-14,139.1,139.73,135.94,137.18,137.18,952465288
2024-09-13,136.14,139.83,131.86,139.1,139.1,1668690414
2024-09-12,132.5,136.61,132.44,136.14,136.14,1597055803
2024-09-11,135.63,135.8,128.43,132.5,132.5,2122617674
2024-09-10,135.03,137.81,132.63,135.64,135.64,1642358500
2024-09-09,129.99,136.19,127.22,135.03,135.03,2443769044
2024-09-08,127.72,131.52,126.81,129.99,129.99,1317794291
2024-09-07,124.99,129.29,124.27,127.72,127.72,1321261949
2024-09-06,129.33,134.17,121.06,124.99,124.99,3520537699
2024-09-05,133.6,135.09,128.14,129.33,129.33,1926178088
2024-09-04,127.58,134.87,123.61,133.6,133.6,2663812153
2024-09-03,135.0,137.14,127.57,127.58,127.58,1787700523
2024-09-02,128.69,135.35,127.27,135.0,135.0,2092221241
2024-09-01,135.37,136.0,128.24,128.69,128.69,1974170865
2024-08-31,138.1,138.99,134.64,135.37,135.37,892155699
2024-08-30,140.05,141.01,132.45,138.1,138.1,2683385690
2024-08-29,143.89,147.22,138.27,140.05,140.05,2098251665
2024-08-28,146.9,148.69,140.97,143.89,143.89,2932401182
2024-08-27,157.24,159.62,145.66,146.9,146.9,2783392784
2024-08-26,158.91,161.91,155.88,157.24,157.24,2588808155
2024-08-25,160.73,161.95,155.51,158.91,158.91,2085078554
2024-08-24,153.11,162.17,152.15,160.73,160.73,2749419604
2024-08-23,143.26,153.77,143.16,153.11,153.11,2560976300
2024-08-22,142.71,144.81,140.93,143.26,143.26,1368400829
2024-08-21,142.33,144.16,139.27,142.71,142.71,1923259439
2024-08-20,144.35,148.65,141.36,143.17,143.17,2124392770
2024-08-19,142.59,145.92,140.75,144.34,144.34,2077549615
2024-08-18,141.8,146.96,140.96,142.59,142.59,1866239536
2024-08-17,139.33,141.96,137.87,141.8,141.8,1199702073
2024-08-16,142.74,144.8,136.38,139.33,139.33,2707615564
2024-08-15,143.92,147.35,138.16,142.75,142.75,3032770371
2024-08-14,146.71,151.73,142.72,143.92,143.92,2714536693
2024-08-13,146.45,149.61,143.15,146.71,146.71,2224488388
2024-08-12,141.53,150.81,141.44,146.45,146.45,3380174341
2024-08-11,153.96,157.93,141.35,141.53,141.53,2411765937
2024-08-10,156.46,158.59,152.87,153.96,153.96,1662980960
2024-08-09,162.93,163.25,151.23,156.46,156.46,3217916997
2024-08-08,144.63,163.03,142.02,162.93,162.93,5385642745
2024-08-07,144.09,155.01,142.75,144.63,144.63,5529725414
2024-08-06,129.86,149.35,129.79,144.09,144.09,5813459735
2024-08-05,138.05,139.14,110.61,129.86,129.86,14114308949
2024-08-04,142.92,145.84,132.14,138.06,138.06,4333596296
